file,signal_rms,error_rms
11025/Amarent_And_the_Beat_Goes_On.aiff,0.30286,0.014669
11025/Blood_God_Satans_Smile.aiff,0.24711,0.016443
11025/eddy_Pure_Adrenaline.aiff,0.35759,0.023553
11025/Graphiqs_Groove_Deep_Sky_Blue.aiff,0.21345,0.0074746
11025/Kai_Engel_Moonlight_Reprise.aiff,0.14293,0.0024816
11025/Kevin_MacLeod_Ghost_Dance.aiff,0.046513,0.0021243
11025/Maarten_Schellekens_The_Passage_of_Time.aiff,0.12179,0.0048032
11025/Pumpupthemind_Cool_Funk.aiff,0.24955,0.010706
11025/Starseed_The_Forlorn.aiff,0.19702,0.016121
11025/Stephan_Siebert_when.aiff,0.044703,0.00087346
11025/The_Tudor_Consort_Sanctus.aiff,0.089553,0.0042328
16000/Amarent_And_the_Beat_Goes_On.aiff,0.30451,0.012684
16000/Blood_God_Satans_Smile.aiff,0.25027,0.015537
16000/eddy_Pure_Adrenaline.aiff,0.35957,0.01985
16000/Graphiqs_Groove_Deep_Sky_Blue.aiff,0.21422,0.0069814
16000/Kai_Engel_Moonlight_Reprise.aiff,0.14293,0.0012535
16000/Kevin_MacLeod_Ghost_Dance.aiff,0.046543,0.0014092
16000/Maarten_Schellekens_The_Passage_of_Time.aiff,0.12183,0.0031264
16000/Pumpupthemind_Cool_Funk.aiff,0.25103,0.010052
16000/Starseed_The_Forlorn.aiff,0.20026,0.015216
16000/Stephan_Siebert_when.aiff,0.044703,0.00046272
16000/The_Tudor_Consort_Sanctus.aiff,0.089566,0.002528
22050/Amarent_And_the_Beat_Goes_On.aiff,0.30538,0.011056
22050/Blood_God_Satans_Smile.aiff,0.25179,0.013717
22050/eddy_Pure_Adrenaline.aiff,0.36004,0.015077
22050/Graphiqs_Groove_Deep_Sky_Blue.aiff,0.21485,0.0068014
22050/Kai_Engel_Moonlight_Reprise.aiff,0.14293,0.00066698
22050/Kevin_MacLeod_Ghost_Dance.aiff,0.046555,0.00096195
22050/Maarten_Schellekens_The_Passage_of_Time.aiff,0.12194,0.0027505
22050/Pumpupthemind_Cool_Funk.aiff,0.25231,0.0094977
22050/Starseed_The_Forlorn.aiff,0.20223,0.013489
22050/Stephan_Siebert_when.aiff,0.044703,0.00025233
22050/The_Tudor_Consort_Sanctus.aiff,0.089574,0.0015659
32000/Amarent_And_the_Beat_Goes_On.aiff,0.30581,0.0086323
32000/Blood_God_Satans_Smile.aiff,0.25238,0.010591
32000/eddy_Pure_Adrenaline.aiff,0.36013,0.0095255
32000/Graphiqs_Groove_Deep_Sky_Blue.aiff,0.21531,0.0060937
32000/Kai_Engel_Moonlight_Reprise.aiff,0.14293,0.00030787
32000/Kevin_MacLeod_Ghost_Dance.aiff,0.046574,0.00071107
32000/Maarten_Schellekens_The_Passage_of_Time.aiff,0.12196,0.0018685
32000/Pumpupthemind_Cool_Funk.aiff,0.25274,0.0078276
32000/Starseed_The_Forlorn.aiff,0.20277,0.010017
32000/Stephan_Siebert_when.aiff,0.044703,0.00011915
32000/The_Tudor_Consort_Sanctus.aiff,0.089575,0.0008483
44100/Amarent_And_the_Beat_Goes_On.aiff,0.30582,0.0059249
44100/Blood_God_Satans_Smile.aiff,0.25243,0.0072827
44100/eddy_Pure_Adrenaline.aiff,0.36014,0.0057797
44100/Graphiqs_Groove_Deep_Sky_Blue.aiff,0.21546,0.0050188
44100/Kai_Engel_Moonlight_Reprise.aiff,0.14293,0.0001515
44100/Kevin_MacLeod_Ghost_Dance.aiff,0.046582,0.00055166
44100/Maarten_Schellekens_The_Passage_of_Time.aiff,0.12196,0.0011889
44100/Pumpupthemind_Cool_Funk.aiff,0.25276,0.0055105
44100/Starseed_The_Forlorn.aiff,0.2028,0.0066394
44100/Stephan_Siebert_when.aiff,0.044703,6.0838e-05
44100/The_Tudor_Consort_Sanctus.aiff,0.089575,0.00047216
